import time: self [us] | cumulative | imported package
import time:      1817 |       1817 | _frozen_importlib_external
import time:       487 |        487 |   time
import time:       806 |       1292 | zipimport
import time:       217 |        217 |     _codecs
import time:      1704 |       1921 |   codecs
import time:      1477 |       1477 |   encodings.aliases
import time:      2107 |       5504 | encodings
import time:       813 |        813 | encodings.utf_8
import time:       393 |        393 | _signal
import time:      1283 |       1283 | encodings.latin_1
import time:       167 |        167 |     _abc
import time:       906 |       1073 |   abc
import time:      1045 |       2117 | io
import time:       319 |        319 |       _stat
import time:      1000 |       1318 |     stat
import time:      4853 |       4853 |     _collections_abc
import time:       616 |        616 |       genericpath
import time:       840 |       1456 |     posixpath
import time:      2087 |       9712 |   os
import time:       685 |        685 |   _sitebuiltins
import time:       280 |        280 |     _locale
import time:       508 |        788 |   _bootlocale
import time:       977 |        977 |   types
import time:       936 |        936 |       warnings
import time:       637 |       1573 |     importlib
import time:       534 |        534 |       importlib.machinery
import time:      1821 |       2355 |     importlib.abc
import time:       286 |        286 |           _operator
import time:      1100 |       1386 |         operator
import time:       483 |        483 |         keyword
import time:       887 |        887 |           _heapq
import time:       678 |       1564 |         heapq
import time:       335 |        335 |         itertools
import time:       748 |        748 |         reprlib
import time:       241 |        241 |         _collections
import time:      5049 |       9803 |       collections
import time:       276 |        276 |         _functools
import time:      2131 |       2407 |       functools
import time:      2442 |      14651 |     contextlib
import time:      1575 |      20152 |   importlib.util
import time:       556 |        556 |   sitecustomize
import time:       288 |        288 |   usercustomize
import time:      7894 |      41049 | site
import time:       579 |        579 |   thor.version
import time:       626 |        626 |       __future__
import time:       891 |        891 |       numpy._globals
import time:       568 |        568 |       numpy.__config__
import time:       429 |        429 |       numpy.version
import time:       395 |        395 |       numpy._distributor_init
import time:      3032 |       3032 |                 enum
import time:       286 |        286 |                   _sre
import time:      1418 |       1418 |                     sre_constants
import time:      1315 |       2732 |                   sre_parse
import time:      1054 |       4072 |                 sre_compile
import time:       677 |        677 |                 copyreg
import time:      1938 |       9718 |               re
import time:      4970 |      14687 |             textwrap
import time:       791 |        791 |                 math
import time:      1658 |       1658 |                 _datetime
import time:      3278 |       5726 |               datetime
import time:     13734 |      19460 |             numpy.core._multiarray_umath
import time:      1022 |       1022 |                 numpy.compat._inspect
import time:      1109 |       1109 |                     fnmatch
import time:       745 |        745 |                       nt
import time:       577 |        577 |                       nt
import time:       476 |        476 |                       nt
import time:       540 |        540 |                       nt
import time:      1348 |       3684 |                     ntpath
import time:       370 |        370 |                     errno
import time:       699 |        699 |                       urllib
import time:      4086 |       4784 |                     urllib.parse
import time:      4503 |      14448 |                   pathlib
import time:       375 |        375 |                   pickle5
import time:       615 |        615 |                       _struct
import time:       498 |       1112 |                     struct
import time:      1154 |       1154 |                     _compat_pickle
import time:       619 |        619 |                     _pickle
import time:       262 |        262 |                         org
import time:        40 |        302 |                       org.python
import time:        43 |        345 |                     org.python.core
import time:      2555 |       5784 |                   pickle
import time:       997 |      21602 |                 numpy.compat.py3k
import time:       857 |      23480 |               numpy.compat
import time:        77 |      23557 |             numpy.compat._inspect
import time:      1154 |      58856 |           numpy.core.overrides
import time:      7911 |      66766 |         numpy.core.multiarray
import time:       376 |        376 |         numpy.core.umath
import time:      1956 |       1956 |           numbers
import time:       342 |        342 |           numpy.core._string_helpers
import time:       327 |        327 |             numpy.core._dtype
import time:       887 |       1213 |           numpy.core._type_aliases
import time:       701 |       4211 |         numpy.core.numerictypes
import time:       291 |        291 |             numpy.core._asarray
import time:       945 |        945 |                 numpy.core._exceptions
import time:       412 |       1356 |               numpy.core._methods
import time:      5680 |       7036 |             numpy.core.fromnumeric
import time:      1396 |       8722 |           numpy.core.shape_base
import time:       283 |        283 |             collections.abc
import time:       378 |        661 |           numpy.core._ufunc_config
import time:      1173 |       1173 |           numpy.core.arrayprint
import time:      3403 |      13957 |         numpy.core.numeric
import time:      5657 |       5657 |         numpy.core.defchararray
import time:       569 |        569 |         numpy.core.records
import time:       296 |        296 |         numpy.core.memmap
import time:       636 |        636 |         numpy.core.function_base
import time:       227 |        227 |         numpy.core.machar
import time:       366 |        366 |         numpy.core.getlimits
import time:       556 |        556 |         numpy.core.einsumfunc
import time:       331 |        331 |           numpy.core._multiarray_tests
import time:      2125 |       2455 |         numpy.core._add_newdocs
import time:       489 |        489 |           _ctypes
import time:       324 |        324 |             ctypes._endian
import time:      1200 |       1524 |           ctypes
import time:       195 |       2208 |         numpy.core._dtype_ctypes
import time:      3203 |       3203 |           platform
import time:      1129 |       4332 |         numpy.core._internal
import time:       208 |        208 |         numpy._pytesttester
import time:      1308 |     104118 |       numpy.core
import time:       492 |        492 |         numpy.lib.mixins
import time:       479 |        479 |             numpy.lib.ufunclike
import time:      1212 |       1690 |           numpy.lib.type_check
import time:      1019 |       2709 |         numpy.lib.scimath
import time:       105 |        105 |                 _ast
import time:       519 |        623 |               ast
import time:      1206 |       1206 |                   numpy.lib.twodim_base
import time:       197 |        197 |                   numpy.linalg.lapack_lite
import time:       293 |        293 |                   numpy.linalg._umath_linalg
import time:      2434 |       4129 |                 numpy.linalg.linalg
import time:       194 |       4322 |               numpy.linalg
import time:       482 |       5426 |             numpy.matrixlib.defmatrix
import time:       176 |       5601 |           numpy.matrixlib
import time:       750 |        750 |             numpy.lib.histograms
