,obs_id,exp_mjd,night,RA_deg,Dec_deg,obs_x_au,obs_y_au,obs_z_au,mag,name,Delta_au,r_au,obj_x_au,obj_y_au,obj_z_au,obj_dx/dt_au_p_day,obj_dy/dt_au_p_day,obj_dz/dt_au_p_day,theta_x_deg,theta_y_deg,naive_dec,naive_ra
1548313,22971468,59582.1729999993,59582,199.19525228490002,-19.8744321902,-0.2119473864,0.9602515564,-7.80229e-05,23.4681131598,K16B2,2.1112325593,2.1261831098,-2.087048861,0.07581612160000001,-0.3989155097,-0.0005946151,-0.010948751299999998,-0.0027378098999999998,-0.5720217091927469,-0.24341958982256404,-0.07443219019999958,-0.6047477150999896
488401,7225235,59582.1729999993,59582,199.8244016155,-20.3751461376,-0.2119473864,0.9602515564,-7.80229e-05,20.5306201289,N3073,2.7912795669999997,2.7378344619,-2.6735139287000003,-0.24049530030000002,-0.5387233283,0.001034575,-0.0104042771,-0.003664722,0.21856889464114582,-0.5460806780899746,-0.5751461376000009,0.024401615499982654
499811,7448063,59582.1729999993,59582,200.6198135223,-19.7650954708,-0.2119473864,0.9602515564,-7.80229e-05,21.1688334549,O0261,3.2382676694,3.1519723597000002,-3.0642098611,-0.4600022267,-0.5778802946,0.002211749,-0.0083833248,0.0008512494,0.8023451627918168,0.26671907151339475,0.03490452920000209,0.8198135222999952
518096,7748143,59582.1729999993,59582,199.2590108727,-20.1268456116,-0.2119473864,0.9602515564,-7.80229e-05,21.2277684431,O9941,3.0234431536,2.9664243172000004,-2.8918904008,-0.3126673327,-0.5821359621,5.9551000000000006e-05,-0.009657086899999999,9.68551e-05,-0.42347168214707037,-0.4667713232972813,-0.3268456115999996,-0.5409891273000085
566139,8411822,59582.1729999993,59582,199.5873518518,-20.0012918399,-0.2119473864,0.9602515564,-7.80229e-05,21.1231407802,R1350,3.2778535305000003,3.2039922483999996,-3.1138531946,-0.43311318109999997,-0.6179786264,0.0001102057,-0.0091850213,0.0021916408999999998,-0.14199860814346207,-0.253535657782507,-0.20129183989999788,-0.2126481482000031
567382,8431104,59582.1729999993,59582,199.8304067166,-20.6754320655,-0.2119473864,0.9602515564,-7.80229e-05,21.4431850841,R1972,3.0427181319,2.9728891854,-2.8898908102,-0.3531169769,-0.6015892403,4.0899e-05,-0.0101417476,-0.0004048262,0.32517412336328977,-0.8338251502365125,-0.8754320655000001,0.030406716599998163
590050,8693364,59582.1729999993,59582,200.59400737709998,-19.955556564000002,-0.2119473864,0.9602515564,-7.80229e-05,20.9471267589,S0432,2.511306491,2.4683275963,-2.4216231026,-0.1424621355,-0.4561657718,0.0015837951999999999,-0.011145955400000001,-0.0005863153,0.841050417322187,0.07531038831256309,-0.15555656400000117,0.7940073770999732
609981,9026118,59582.1729999993,59582,199.4680319494,-19.2080269669,-0.2119473864,0.9602515564,-7.80229e-05,22.0963511418,T1166,2.9963725341000003,2.9430341202999997,-2.8797396573,-0.29710078289999997,-0.5294152095,0.0013490687,-0.0098766254,-0.0005739269,-0.5309024136743739,0.4713594901696769,0.5919730331000004,-0.3319680506000111
474642,7081054,59582.1729999993,59582,199.63415205759998,-20.2935120822,-0.2119473864,0.9602515564,-7.80229e-05,19.9863563911,M8422,2.6052758056,2.5677050734,-2.5134338795,-0.15249015789999998,-0.5024999793,0.0020131704,-0.0113957532,-0.001160273,0.00301102729439958,-0.5209175704936422,-0.49351208219999876,-0.16584794240003475
631492,9397932,59582.1729999993,59582,199.79211732849998,-19.7860057098,-0.2119473864,0.9602515564,-7.80229e-05,21.1870893518,U3160,2.3238839758000003,2.3095600726,-2.2694637899,-0.0319940987,-0.4272917186,-0.0008099537,-0.0120377274,-0.0011266649,-0.012561055640314947,0.011188547797667545,0.013994290199999426,-0.007882671500027527
